Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,url
57,Christian Braun,SG,21,DEN,76,6,15.5,1.9,3.8,0.495,0.4,1.3,0.354,1.4,2.5,0.565,0.554,0.5,0.8,0.625,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7, 2808600,https://wwwhispanosnbacom/jugadores/christian-braun
62,Bruce Brown,SG,26,DEN,80,31,28.5,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,0.545,1.5,1.9,0.758,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5, 6479000,https://wwwhispanosnbacom/jugadores/bruce-brown
70,Thomas Bryant,C,25,DEN,18,1,11.4,1.8,3.8,0.485,0.2,0.5,0.444,1.6,3.3,0.492,0.515,0.7,1,0.722,1.1,2.3,3.3,0.1,0.1,0.4,0.6,1.4,4.6, 2133278,https://wwwhispanosnbacom/jugadores/thomas-bryant
78,Kentavious Caldwell-Pope,SG,29,DEN,76,76,31.3,3.8,8.3,0.462,1.8,4.2,0.423,2.1,4.1,0.502,0.569,1.4,1.6,0.824,0.5,2.3,2.7,2.4,1.5,0.5,1.1,1.9,10.8, 14004703,https://wwwhispanosnbacom/jugadores/kentavious-caldwell-pope
80,Vlatko Cancar,PF,25,DEN,60,9,14.8,1.8,3.8,0.476,0.7,1.9,0.374,1.1,1.9,0.58,0.57,0.6,0.7,0.927,0.4,1.7,2.1,1.3,0.4,0.2,0.6,1.4,5, 2234359,https://wwwhispanosnbacom/jugadores/vlatko-cancar
169,Aaron Gordon,PF,27,DEN,68,68,30.2,6.3,11.2,0.564,0.9,2.5,0.347,5.4,8.6,0.628,0.603,2.8,4.6,0.608,2.4,4.1,6.6,3,0.8,0.8,1.4,1.9,16.3, 19690909,https://wwwhispanosnbacom/jugadores/aaron-gordon
180,Jeff Green,PF,36,DEN,56,4,19.5,2.9,5.9,0.488,0.5,1.9,0.288,2.3,4,0.58,0.534,1.6,2.1,0.744,0.7,1.9,2.6,1.2,0.3,0.3,0.8,1.8,7.8, 4500000,https://wwwhispanosnbacom/jugadores/jeff-green
225,Bones Hyland,PG,22,DEN,42,1,19.5,4.1,10.3,0.399,2.2,5.7,0.378,2,4.6,0.425,0.503,1.7,2,0.866,0.2,1.8,2,3,0.7,0.3,1.6,1.6,12.1, 2201400,https://wwwhispanosnbacom/jugadores/bones-hyland
238,Reggie Jackson,PG,32,DEN,16,2,19.9,3.1,8,0.383,1.2,4.3,0.279,1.9,3.8,0.5,0.457,0.6,0.8,0.833,0.2,1.6,1.8,3.1,0.6,0.1,1.2,1.4,7.9, 12133776,https://wwwhispanosnbacom/jugadores/reggie-jackson
249,Nikola Jokic,C,27,DEN,69,69,33.7,9.4,14.8,0.632,0.8,2.2,0.383,8.5,12.7,0.675,0.66,4.9,6,0.822,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5, 33047804,https://wwwhispanosnbacom/jugadores/nikola-jokic
